width,phase_time,classical_time,T
2.000000000000000111e-01,1.280458979269591679e-01,7.071067811865475172e-02,7.376679683873773596e-01
3.661016949152542388e-01,1.940254088011744982e-01,1.294364955392324212e-01,3.976662518387638068e-01
5.322033898305085220e-01,2.265252873751764651e-01,1.881623129598101185e-01,1.789807068827225789e-01
6.983050847457628052e-01,2.405564657141646967e-01,2.468881303803877880e-01,7.412138886414602890e-02
8.644067796610170884e-01,2.462667083088288522e-01,3.056139478009654575e-01,2.964333406953517311e-02
1.030508474576271372e+00,2.485344414519492506e-01,3.643397652215431548e-01,1.169010262221994306e-02
1.196610169491525433e+00,2.494262659725543230e-01,4.230655826421207966e-01,4.584605515798824069e-03
1.362711864406779716e+00,2.497756399457896903e-01,4.817914000626984938e-01,1.794075051455559008e-03
1.528813559322033999e+00,2.499123008261843470e-01,5.405172174832761911e-01,7.014703358365147840e-04
1.694915254237288282e+00,2.499657253443561267e-01,5.992430349038538884e-01,2.741784734469948550e-04
1.861016949152542566e+00,2.499866056265868663e-01,6.579688523244315856e-01,1.071521410659268637e-04
2.027118644067797071e+00,2.499947656770998838e-01,7.166946697450092829e-01,4.187417404902061071e-05
2.193220338983051132e+00,2.499979545256461877e-01,7.754204871655868692e-01,1.636375687267758842e-05
2.359322033898305637e+00,2.499992006712001280e-01,8.341463045861646775e-01,6.394644533219629096e-06
2.525423728813559698e+00,2.499996876440263582e-01,8.928721220067422637e-01,2.498897707211605939e-06
2.691525423728814204e+00,2.499998779382326120e-01,9.515979394273200720e-01,9.765175074870993936e-07
2.857627118644068265e+00,2.499999523033014648e-01,1.010323756847897769e+00,3.816026552295296482e-07
3.023728813559322326e+00,2.499999813654815162e-01,1.069049574268475356e+00,1.491223239447861979e-07
3.189830508474576831e+00,2.499999927197028016e-01,1.127775391689052942e+00,5.827387629300080943e-08
3.355932203389830892e+00,2.499999971568532542e-01,1.186501209109630750e+00,2.277220790560346916e-08
3.522033898305085398e+00,2.499999988924274663e-01,1.245227026530208336e+00,8.898900850197348556e-09
3.688135593220339459e+00,2.499999995685956433e-01,1.303952843950785923e+00,3.477503645463471406e-09
3.854237288135593964e+00,2.499999998338144902e-01,1.362678661371363731e+00,1.358935422229465506e-09
4.020338983050847581e+00,2.499999999361149916e-01,1.421404478791941317e+00,5.310434348522758384e-10
4.186440677966102086e+00,2.499999999795654571e-01,1.480130296212518903e+00,2.075206260838542041e-10
4.352542372881356592e+00,2.499999999925223426e-01,1.538856113633096712e+00,8.109470416100778774e-11
4.518644067796611097e+00,2.499999999986571297e-01,1.597581931053674520e+00,3.169010795124896698e-11
4.684745762711864714e+00,2.500000000018429702e-01,1.656307748474251884e+00,1.238382891135300738e-11
4.850847457627119219e+00,2.500000000030837555e-01,1.715033565894829692e+00,4.839340362635633855e-12
5.016949152542373724e+00,2.500000000030306313e-01,1.773759383315407501e+00,1.891112620581406254e-12
5.183050847457628230e+00,2.500000000052305937e-01,1.832485200735985309e+00,7.390071116575298219e-13
5.349152542372881847e+00,2.500000000038552495e-01,1.891211018156562673e+00,2.887884651271131505e-13
5.515254237288136352e+00,2.500000000035419445e-01,1.949936835577140481e+00,1.128524695836897678e-13
5.681355932203390857e+00,2.500000000024290014e-01,2.008662652997718290e+00,4.410037598119163560e-14
