t,reflected,inside,transmitted
0.000000000000000000e+00,9.999999999998844258e-01,6.751910766014364721e-14,1.129430701145017864e-16
2.711864406779661008e-01,9.999999999704453080e-01,1.813622835822199799e-11,1.260651092167576958e-16
5.423728813559322015e-01,9.999999952374477585e-01,3.066245885453974924e-09,4.831986672970361528e-15
8.135593220338983578e-01,9.999995698693430191e-01,2.908111853915720077e-07,1.929305351605201056e-12
1.084745762711864403e+00,9.999799059270519930e-01,1.426199737221135779e-05,3.964885272318807770e-10
1.355932203389830448e+00,9.995303526174701414e-01,3.493614068575845335e-04,3.944629186005141163e-08
1.627118644067796716e+00,9.944490590109398287e-01,4.315369201663769340e-03,1.854625635921585319e-06
1.898305084745762761e+00,9.652475573086222171e-01,2.811459183655550670e-02,4.218075223764025325e-05
2.169491525423728806e+00,8.762205686160848828e-01,1.035348461594272212e-01,4.909526664252817241e-04
2.440677966101695073e+00,7.266746906530799910e-01,2.339705138915282590e-01,3.162118700102497897e-03
2.711864406779660897e+00,5.891845663447471404e-01,3.540988203290619807e-01,1.233054260646617058e-02
2.983050847457627164e+00,5.348042335679896730e-01,3.937199235044687717e-01,3.196539301225891083e-02
3.254237288135593431e+00,5.589120585399632857e-01,3.527645218354922840e-01,6.035569611916778016e-02
3.525423728813559254e+00,6.218288717449316216e-01,2.701094565537461301e-01,9.036068033480237904e-02
3.796610169491525522e+00,6.952141679971720611e-01,1.790274087170347639e-01,1.155901469518555574e-01
4.067796610169491345e+00,7.531319719694297143e-01,1.082671059231038596e-01,1.341380462354354597e-01
4.338983050847457612e+00,7.809517127421157223e-01,7.046385124557923152e-02,1.472276737787679146e-01
4.610169491525423879e+00,7.890403395922453988e-01,5.361995161014136702e-02,1.566682773101244763e-01
4.881355932203390147e+00,7.934865431179720652e-01,4.205470180590845791e-02,1.637107955041966767e-01
5.152542372881355526e+00,7.989670937826457431e-01,3.136450728273290633e-02,1.690372198818646809e-01
5.423728813559321793e+00,8.035597394164974983e-01,2.297815014231658487e-02,1.730472388533031702e-01
5.694915254237288060e+00,8.065318175269230450e-01,1.713384406281614689e-02,1.760416251062837945e-01
5.966101694915254328e+00,8.086530478230026242e-01,1.284779072905699489e-02,1.782689289017591328e-01
6.237288135593220595e+00,8.103372333745516576e-01,9.564610421897780032e-03,1.799253275189121315e-01
6.508474576271186862e+00,8.115962982437425755e-01,7.119076779259180844e-03,1.811586033855559774e-01
